"","participants","SIC_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_SIC_code","alliance_nation","status","type","ownership_structure","deal_number"
"17170","TELE2","4812","2015-11-09","","Wireless Telecommunications Carriers (Except Satellite)","Sweden","AO KAZAKHTELEKOM/TELE2 AB-JOINT VENTURE","4812","Kazakhstan","Completed/Signed","Joint Venture",49,2942597045
"17175","TELEFONAKTIEBOLAGET LM","4812","2015-11-09","","Provides telecommunications services","Sweden","TELEFONAKTIEBOLAGET LM/CISCO SYSTEMS INC-STRATEGIC ALLIANCE","4812","Sweden","Completed/Signed","Strategic Alliance",NA,2924584045
"17250","WISTRON ","3571","2015-11-25","","Manufacture computers","Taiwan","OPTIEMUS INFRACOM LTD/WISTRON CORP-JOINT VENTURE","5271","India","Completed/Signed","Joint Venture",20,2919721045
"17397","SOFTBANK GROUP ","4812","2015-12-16","","Wireless Telecommunications Carriers (Except Satellite)","Japan","SOFTBANK GROUP CORP/BHARTI ENTERPRISES LTD/HON HAI PRECISION INDUSTRY CO~LTD-JOINT VENTURE","4911","India","Completed/Signed","Joint Venture",NA,2960538045
"17541","QUALCOMM GLOBAL TRADING PTE","3663","2016-01-13","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","Singapore","QUALCOMM GLOBAL TRADING PTE LTD/EPCOS AG-JOINT VENTURE","3999","Singapore","Completed/Signed","Joint Venture",51,2929751045
"17684","OBELISK GROUP","4812","2016-02-10","","Provide telecommunications svcs","Ireland-Rep","ALTITEC GROUP/OBELISK GROUP-JOINT VENTURE","8711","United Kingdom","Completed/Signed","Joint Venture",50,2938216045
"17691","CARTE BLANCHE FILMS","3571","2016-02-11","","Multi-media company","Canada","CARTE BLANCHE FILMS/A COMPANY FILM LICENSING INT-JOINT VENTURE","7812","Canada","Completed/Signed","Joint Venture",50,2969427045
"17692","AFILM LICENSING INT","3571","2016-02-11","","Electronic Computer Manufacturing","Germany","CARTE BLANCHE FILMS/A COMPANY FILM LICENSING INT-JOINT VENTURE","7812","Canada","Completed/Signed","Joint Venture",50,2969427045
"17868","FREELINC","3663","2016-03-22","","Mnfr wireless accessories","United States","FREELINC TECHNOLOGIES INC/DAVID CLARK CO INC-STRATEGIC ALLIANCE","4833","Supranational","Completed/Signed","Strategic Alliance",NA,2937775045
"17869","DAVID CLARK ","3663","2016-03-22","","Mnfr aviation headsets","United States","FREELINC TECHNOLOGIES INC/DAVID CLARK CO INC-STRATEGIC ALLIANCE","4833","Supranational","Completed/Signed","Strategic Alliance",NA,2937775045
"18105","NOKIA OYJ","3663","2016-05-18","","Mnfr network infrastructure products","Finland","NOKIA OYJ/HMD GLOBAL OY-STRATEGIC ALLIANCE","1731","Finland","Completed/Signed","Strategic Alliance",NA,2962273045
"18106","HMD GLOBAL","3663","2016-05-18","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","Finland","NOKIA OYJ/HMD GLOBAL OY-STRATEGIC ALLIANCE","1731","Finland","Completed/Signed","Strategic Alliance",NA,2962273045
"18255","HP","3571","2016-06-09","","Electronic Computer Manufacturing","United States","HP INC/DOCKER INC-STRATEGIC ALLIANCE","8731","Supranational","Completed/Signed","Strategic Alliance",NA,2973437045
"18267","MARLINK","3663","2016-06-10","","Mnfr satellite commun equip","Belgium","INMARSAT PLC/MARLINK SA-STRATEGIC ALLIANCE","4899","United Kingdom","Completed/Signed","Strategic Alliance",NA,2973518045
"18284","LUBBE AUDIO","3571","2016-06-14","","Multi-media company","Germany","LUBBE AUDIO/HARPERCOLLINS PUBLISHERS INDIA-JOINT VENTURE","3571","Germany","Completed/Signed","Joint Venture",50,2973566045
"18504","SOFTBANK GROUP ","4812","2016-07-13","","Wireless Telecommunications Carriers (Except Satellite)","Japan","SOFTBANK GROUP CORP/AERIS INC-JOINT VENTURE","4812","Japan","Completed/Signed","Joint Venture",50,2985761045
"18505","AERIS","4812","2016-07-13","","Pvd wireless telecom svcs","United States","SOFTBANK GROUP CORP/AERIS INC-JOINT VENTURE","4812","Japan","Completed/Signed","Joint Venture",50,2985761045
"18507","LENOVO GROUP","3571","2016-07-13","","Mnfr,wholesale computer prod","Hong Kong","TISHMAN SPEYER PROPERTIES INC/LENOVO GROUP LTD-JOINT VENTURE","1522","China","Completed/Signed","Joint Venture",NA,2987886045
"18549","TELEFONAKTIEBOLAGET LM","4812","2016-07-16","","Provides telecommunications services","Sweden","INSPUR GROUP CO LTD/TELEFONAKTIEBOLAGET LM-JOINT VENTURE","4899","Supranational","Completed/Signed","Joint Venture",50,2985383045
"18571","DIGIWORKS(AZTECH SYSTEM)","3571","2016-07-18","","Multi-media company","Singapore","ANOTO GROUP AB/DIGIWORKS(AZTECH SYSTEMS)-STRATEGIC ALLIANCE","4812","Supranational","Completed/Signed","Strategic Alliance",NA,2985839045
"18582","PT HUTCHISON 3 INDONESIA","4812","2016-07-19","","Wireless Telecommunications Carriers (Except Satellite)","Indonesia","HUTCHISON 3 INDONESIA PT/MCARBON-STRATEGIC ALLIANCE","4812","Indonesia","Completed/Signed","Strategic Alliance",NA,2988557045
"18591","IBM ","3571","2016-07-19","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/COMPUTER SCIENCES CORP-STRATEGIC ALLIANCE","7389","United States","Completed/Signed","Strategic Alliance",NA,2988583045
"18611","SK TELECOM ","4812","2016-07-20","","Pvd cellular telecommun svcs","South Korea","SK TELECOM CO LTD/CAT TELECOM PCL/NHN KCP CORP-JOINT VENTURE","4812","Thailand","Completed/Signed","Joint Venture",30,2988898045
"18612","CAT TELECOM PCL","4812","2016-07-20","","Pvd telecommun svcs","Thailand","SK TELECOM CO LTD/CAT TELECOM PCL/NHN KCP CORP-JOINT VENTURE","4812","Thailand","Completed/Signed","Joint Venture",50,2988898045
"18643","2C MEDIA","3571","2016-07-21","","Multi-media company","United States","2C MEDIA/FLIPELEVEN-JOINT VENTURE","7311","United States","Completed/Signed","Joint Venture",50,2987128045
"18666","SOFTBANK GROUP ","4812","2016-07-21","","Wireless Telecommunications Carriers (Except Satellite)","Japan","DISCOVERY LTD/SUMITOMO LIFE INSURANCE CO/SOFTBANK GROUP CORP-JOINT VENTURE","6311","Japan","Completed/Signed","Joint Venture",NA,2988273045
"18672","SEMP TOSHIBA","3663","2016-07-22","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","Brazil","TCL MULTIMEDIA TECHNOLOGY HOLDINGS LTD/SEMP TOSHIBA SA-JOINT VENTURE","4911","Brazil","Completed/Signed","Joint Venture",60,2989217045
"18696","IBM ","3571","2016-07-25","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/ITC INFOTECH INDIA LTD-STRATEGIC ALLIANCE","7372","India","Completed/Signed","Strategic Alliance",NA,3006112045
"18726","PINNACLE TELECOM","4812","2016-07-26","","Pvd telecommun svcs","United Kingdom","PINNACLE TELECOM PLC/VANTAGE TELECOM LLC-JOINT VENTURE","7374","United States","Completed/Signed","Joint Venture",50,2988645045
"18727","VANTAGE TELECOM","4812","2016-07-26","","Provide telecommunications svcs","United States","PINNACLE TELECOM PLC/VANTAGE TELECOM LLC-JOINT VENTURE","7374","United States","Completed/Signed","Joint Venture",50,2988645045
"18740","BEIJING SHIPPING","4812","2016-07-27","","Provide telecommunications svcs","China","APT SATELLITE HOLDINGS LTD/CHINA GUOXIN TRADING CO. LTD/BEIJING~SHIPPING/SHENZHEN HAO CHUANG/MR. PANG LIXIN-JOINT VENTURE","4812","China","Completed/Signed","Joint Venture",23.9,2989236045
"18803","WING(CAMBODIA)LTD","4812","2016-07-29","","Pvd mobile payment services","Cambodia","DIGITAL MANAGEMENT INC/WING(CAMBODIA)LTD-STRATEGIC ALLIANCE","6000","Cambodia","Completed/Signed","Strategic Alliance",NA,2989914045
"18829","LPTIC","4812","2016-07-30","","Pvd telecommun,IT, Post svcs","Libya","LIBYAN POST TELECOMMUNICATION/TUNISIAN POST-STRATEGIC ALLIANCE","9131","Libya","Completed/Signed","Strategic Alliance",NA,2990262045
"18918","TAIT","4812","2016-08-04","","Wireless Telecommunications Carriers (Except Satellite)","New Zealand","TAIT LTD/HARRIS CORP-STRATEGIC ALLIANCE","4812","United States~Canada","Completed/Signed","Strategic Alliance",NA,2991498045
"19085","SIPKA MANUFACTURING PVT","4812","2016-08-16","","Provide telecommunications svcs","Pakistan","SIPKA MANUFACTURING PVT LTD/HYTERA COMMUNICATIONS CORP LTD-STRATEGIC~ALLIANCE","4812","Pakistan","Completed/Signed","Strategic Alliance",NA,2996501045
"19109","SATCOM GLOBAL","4812","2016-08-17","","Wired Telecommunications Carriers","United Kingdom","SATCOM GLOBAL LTD/INTELLIAN TECHNOLOGIES INC-STRATEGIC ALLIANCE","4812","United Kingdom","Completed/Signed","Strategic Alliance",NA,2997149045
"19110","INTELLIAN TECHNOLOGY","3663","2016-08-17","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","South Korea","SATCOM GLOBAL LTD/INTELLIAN TECHNOLOGIES INC-STRATEGIC ALLIANCE","4812","United Kingdom","Completed/Signed","Strategic Alliance",NA,2997149045
"19128","DECENT FOUNDATION","3571","2016-08-18","","Multi-media company","Switzerland","BITRUSH CORP/DECENT FOUNDATION-STRATEGIC ALLIANCE","6794","Canada","Completed/Signed","Strategic Alliance",NA,2997087045
"19156","LENOVO GROUP","3571","2016-08-19","","Mnfr,wholesale computer prod","Hong Kong","BEYOND MEDIA GROUP LTD/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3073520045
"19175","SK TELECOM ","4812","2016-08-21","","Pvd cellular telecommun svcs","South Korea","SK TELECOM CO LTD/HANA FINANCIAL GROUP INC-JOINT VENTURE","6289","South Korea","Completed/Signed","Joint Venture",49,2997435045
"19179","BELIZE TELEMEDIA","4812","2016-08-21","","Pvd telecommun svcs","Belize","HUAWEI TECHNOLOGIES USA INC/HUAWEI MARINE NETWORKS CO LTD/BELIZE TELEMEDIA~LTD-STRATEGIC ALLIANCE","4841","Belize","Completed/Signed","Strategic Alliance",NA,2997509045
"19183","BATELCO","4812","2016-08-21","","Pvd telecommunications services","Bahrain","BAHRAIN TELECOMMUNICATIONS CO BSC/MICROSOFT CORP-STRATEGIC ALLIANCE","7372","Bahrain","Completed/Signed","Strategic Alliance",NA,2997412045
"19185","PINNACA","4812","2016-08-22","","Provide telecommunications svcs","United Kingdom","PINNACA/ONSTREAM MEDIA CORP-STRATEGIC ALLIANCE","4841","United States","Completed/Signed","Strategic Alliance",NA,3007306045
"19191","HKT","4812","2016-08-22","","Provide telecommunications svcs","Hong Kong","HKT LTD/CLP HOLDINGS LTD-JOINT VENTURE","1731","Hong Kong","Completed/Signed","Joint Venture",50,2998577045
"19230","FREEWAVE TECHNOLOGY","3663","2016-08-23","","Mnfr radios,parts","United States","FREEWAVE TECHNOLOGIES INC/SOLIS ENERGY INC-STRATEGIC ALLIANCE","4911","United States","Completed/Signed","Strategic Alliance",NA,2998751045
"19236","FLEXIROAM","4812","2016-08-24","","Wireless Telecommunications Carriers (Except Satellite)","Australia","FLEXIROAM LTD/TRIPADVISOR LLC-STRATEGIC ALLIANCE","8742","Australia","Completed/Signed","Strategic Alliance",NA,2998874045
"19358","GLOBALSTAR","4812","2016-08-30","","Pvd voice,data svcs","United States","CARMANAH TECHNOLOGIES CORP/GLOBALSTAR INC-STRATEGIC ALLIANCE","3674","Canada","Completed/Signed","Strategic Alliance",NA,3001016045
"19360","AERIS","4812","2016-08-30","","Pvd wireless telecom svcs","United States","SONATA SOFTWARE LTD/AERIS INC-STRATEGIC ALLIANCE","7375","India","Completed/Signed","Strategic Alliance",NA,3002242045
"19369","STS MEDIA","4812","2016-08-30","","Wireless Telecommunications Carriers (Except Satellite)","United States","STS MEDIA INC/LETTERONE HOLDINGS SA-STRATEGIC ALLIANCE","4812","United Kingdom~Spain","Completed/Signed","Strategic Alliance",NA,3002173045
"19396","M1 NET","4812","2016-08-31","","Pvd telecommun svcs","Singapore","M1 NET LTD/UNDISCLOSED PARTNER-STRATEGIC ALLIANCE","6211","Singapore","Completed/Signed","Strategic Alliance",NA,3002318045
"19424","ARRIS INTERNATIONAL","3663","2016-09-01","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","ESPIAL GROUP INC/ARRIS INTERNATIONAL INC-STRATEGIC ALLIANCE","6794","Supranational","Completed/Signed","Strategic Alliance",NA,3007173045
"19427","VIMPELCOM","4812","2016-09-01","","Pvd wireless telecommun svcs","Netherlands","VIMPELCOM LTD/CK HUTCHISON HOLDINGS LTD-JOINT VENTURE","4812","Italy","Completed/Signed","Joint Venture",50,3039323045
"19464","SOFTBANK GROUP ","4812","2016-09-02","","Wireless Telecommunications Carriers (Except Satellite)","Japan","SOFTBANK GROUP CORP/NIANTIC INC-STRATEGIC ALLIANCE","7371","Japan","Completed/Signed","Strategic Alliance",NA,3038563045
"19586","MTN GROUP","4812","2016-09-07","","Wireless Telecommunications Carriers (Except Satellite)","South Africa","MTN GROUP LTD/MMI HOLDINGS LTD-JOINT VENTURE","6311","South Africa","Completed/Signed","Joint Venture",NA,3006284045
"19615","SIEMENS","3663","2016-09-08","","Manufactures and wholesales telecommunications equipment","Germany","KONGSBERG MARITIME AS/SIEMENS AG-STRATEGIC ALLIANCE","4911","Norway","Completed/Signed","Strategic Alliance",NA,3007142045
"19642","RF VENUE","4812","2016-09-09","","Provide wireless telecom svcs","United States","RF VENUE INC/JANDS PTY LTD-STRATEGIC ALLIANCE","5099","Australia","Completed/Signed","Strategic Alliance",NA,3010922045
"19654","ARRIS INTERNATIONAL","3663","2016-09-09","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","ARRIS INTERNATIONAL INC/TELEFONICA SA-STRATEGIC ALLIANCE","4899","Spain","Completed/Signed","Strategic Alliance",NA,3012719045
"19678","SK TELECOM ","4812","2016-09-10","","Pvd cellular telecommun svcs","South Korea","SK TELECOM CO LTD/KOREA ELECTRONICS TECHNOLOGY INSTITUTE/KOREA EXPRESSWAY~CORP-STRATEGIC ALLIANCE","4899","South Korea","Completed/Signed","Strategic Alliance",NA,3011557045
"19689","VODAFONE INDIA","4812","2016-09-11","","Pvd wireless telecommun svcs","India","VODAFONE INDIA LTD/BHARAT SANCHAR NIGAM LTD-STRATEGIC ALLIANCE","4812","India","Completed/Signed","Strategic Alliance",NA,3007515045
"19751","MEDIA BROADCAST","4812","2016-09-13","","Wired Telecommunications Carriers","Germany","MEDIA BROADCAST GMBH/HISPASAT SA-STRATEGIC ALLIANCE","3571","Spain","Completed/Signed","Strategic Alliance",NA,3020871045
"19825","SOFTBANK GROUP ","4812","2016-09-14","","Wireless Telecommunications Carriers (Except Satellite)","Japan","SOFTBANK GROUP CORP/PACKET HOST INC-STRATEGIC ALLIANCE","4225","Japan","Completed/Signed","Strategic Alliance",NA,3021634045
"19842","IBM ","3571","2016-09-14","","Manufacture computer products","United States","TEKES/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","8099","Fiji","Completed/Signed","Strategic Alliance",NA,3010654045
"19925","ZTE SWEDEN","4812","2016-09-16","","Provide telecommunications svcs","Sweden","SWEMET AB/ZTE SWEDEN AB-STRATEGIC ALLIANCE","3825","Sweden","Completed/Signed","Strategic Alliance",NA,3009146045
"19931","DOCOMO DIGITAL","4812","2016-09-16","","Wireless Telecommunications Carriers (Except Satellite)","Germany","VICE HOLDINGS INC/DOCOMO DIGITAL GMBH-STRATEGIC ALLIANCE","4812","Japan","Completed/Signed","Strategic Alliance",NA,3010100045
"19947","JORDAN TELECOM GROUP","4812","2016-09-19","","Wired Telecommunications Carriers","Jordan","CAIRO AMMAN BANK PSC/JORDAN TELECOM GROUP-STRATEGIC ALLIANCE","4899","Jordan","Completed/Signed","Strategic Alliance",NA,3018836045
"19994","SAFARICOM","4812","2016-09-20","","Pvd wireless telecom services","Kenya","SAFARICOM LTD/VIPINGO RIDGE LTD-STRATEGIC ALLIANCE","7389","Kenya","Completed/Signed","Strategic Alliance",NA,3021402045
"20010","TELCO SYSTEM","3663","2016-09-20","","Manufacture Ethernet platforms","United States","TELCO SYSTEMS INC/VIPINGO RIDGE LTD-STRATEGIC ALLIANCE","4899","Kenya","Completed/Signed","Strategic Alliance",NA,3023543045
"20019","TRK TELEKOM TIVIBU","4812","2016-09-20","","Wired Telecommunications Carriers","Turkey","TRK TELEKOM TIVIBU/FRANCE 24 SA-STRATEGIC ALLIANCE","4833","","Completed/Signed","Strategic Alliance",NA,3021579045
"20053","ANAREN","3663","2016-09-21","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","United States","ANAREN INC/DIMAC RED SPA-STRATEGIC ALLIANCE","8742","Italy","Completed/Signed","Strategic Alliance",NA,3011629045
"20083","SOFTBANK GROUP ","4812","2016-09-21","","Wireless Telecommunications Carriers (Except Satellite)","Japan","VIDEODESK INC/SOFTBANK GROUP CORP-STRATEGIC ALLIANCE","8742","Japan","Completed/Signed","Strategic Alliance",NA,3012114045
"20124","VODACOM GROUP","4812","2016-09-22","","Provide telecommunications services","South Africa","VODACOM GROUP LTD/PASSENGER RAIL AGENCY OF SOUTH-STRATEGIC ALLIANCE","4812","South Africa","Completed/Signed","Strategic Alliance",NA,3031226045
"20182","TOPFIELD ","3663","2016-09-24","","Mnfr digital set top boxes","South Korea","TOPFIELD CO LTD/AYJ BIO LAB/UNDISCLOSED PARTNER-STRATEGIC ALLIANCE","8742","South Korea","Completed/Signed","Strategic Alliance",NA,3031484045
"20189","SINGAPORE TELECOMMUNICATION","4812","2016-09-25","","Provide telecommunications services","Singapore","SINGAPORE TELECOMMUNICATIONS/AKAMAI TECHNOLOGIES INC-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,3018038045
"20211","TELEFONAKTIEBOLAGET LM","4812","2016-09-26","","Provides telecommunications services","Sweden","RAYBASED AB/TELEFONAKTIEBOLAGET LM-STRATEGIC ALLIANCE","8742","Sweden","Completed/Signed","Strategic Alliance",NA,3012759045
"20373","TELEFONAKTIEBOLAGET LM","4812","2016-09-28","","Provides telecommunications services","Sweden","TELEFONAKTIEBOLAGET LM/HOMESEND SCRL-STRATEGIC ALLIANCE","7374","Belgium","Completed/Signed","Strategic Alliance",NA,3031708045
"20376","IBM ","3571","2016-09-28","","Manufacture computer products","United States","CLARIENT GLOBAL LLC/INTERNATIONAL BUSINESS-JOINT VENTURE","6289","United States","Completed/Signed","Joint Venture",NA,3031364045
"20381","HEWLETT PACKARD ENTERPRISE ","3571","2016-09-29","","Manufactures electronic computers","United States","HEWLETT PACKARD ENTERPRISE CO/SHAPE SECURITY-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3035371045
"20515","ONECOM","4812","2016-10-03","","Provide telecommunications services","United Kingdom","ONECOM LTD/CITYFIBRE INFRASTRUCTURE HOLDINGS PLC-STRATEGIC ALLIANCE","4812","United Kingdom","Completed/Signed","Strategic Alliance",NA,3032770045
"20566","PINNACA","4812","2016-10-04","","Provide telecommunications svcs","United Kingdom","VYOPTA INC/PINNACA-STRATEGIC ALLIANCE","4812","United Kingdom","Completed/Signed","Strategic Alliance",NA,3018227045
"20604","KOMSA POLAND SP. Z OO","4812","2016-10-04","","Wired Telecommunications Carriers","Poland","ZTE POLAND SP.ZO.O/KOMSA POLAND SP. Z OO-STRATEGIC ALLIANCE","5099","Poland","Completed/Signed","Strategic Alliance",NA,3034086045
"20662","CCT FORTIS HOLDING","3663","2016-10-05","","Mnfr,whl telecom equip","Hong Kong","CCT FORTIS HOLDINGS LTD/CCT LAND HOLDINGS LTD-STRATEGIC ALLIANCE","3663","Hong Kong","Completed/Signed","Strategic Alliance",NA,3034206045
"20663","CCT LAND HOLDING","3663","2016-10-05","","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","Hong Kong","CCT FORTIS HOLDINGS LTD/CCT LAND HOLDINGS LTD-STRATEGIC ALLIANCE","3663","Hong Kong","Completed/Signed","Strategic Alliance",NA,3034206045
"20670","IBM ","3571","2016-10-06","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/CLARIENT GLOBAL LLC-JOINT VENTURE","7374","United States","Completed/Signed","Joint Venture",NA,3032673045
"20691","PRYSM","4812","2016-10-06","","Wireless Telecommunications Carriers (Except Satellite)","United States","SYMBIAT INC/PRYSM INC-STRATEGIC ALLIANCE","4899","","Completed/Signed","Strategic Alliance",NA,3033627045
"20757","BATELCO","4812","2016-10-09","","Pvd telecommunications services","Bahrain","DURRAT AL BAHRAIN /BAHRAIN TELECOMMUNICATIONS CO BSC-STRATEGIC ALLIANCE","7375","Bahrain","Completed/Signed","Strategic Alliance",NA,3034943045
"20812","VODAFONE HOLDING","4812","2016-10-11","","Pvd telecommunications svcs","Turkey","BIMEKS BILGI ISLEM VE DIS TICARET AS/VODAFONE HOLDING AS-STRATEGIC~ALLIANCE","8742","Turkey","Completed/Signed","Strategic Alliance",NA,3033226045
"20872","STRAIGHT PATH COMMUNICATION","4812","2016-10-11","","Telecommunications Resellers","United States","WINDSTREAM HOLDINGS INC/CAMBRIDGE BROADBAND LTD/STRAIGHT PATH~COMMUNICATIONS-STRATEGIC ALLIANCE","7375","United States","Completed/Signed","Strategic Alliance",NA,3034846045
"20912","STS MEDIA","4812","2016-10-12","","Wireless Telecommunications Carriers (Except Satellite)","United States","STS MEDIA INC/DISH NETWORK MEXICO-JOINT VENTURE","4812","Mexico","Completed/Signed","Joint Venture",NA,3019076045
"20918","STS MEDIA","4812","2016-10-12","","Wireless Telecommunications Carriers (Except Satellite)","United States","STS MEDIA INC/MVS COMUNICACIONES SA DE CV/VARIV CAPITAL-JOINT VENTURE","4812","Mexico","Completed/Signed","Joint Venture",NA,3021486045
"20919","MVS COMUNICACIONES SA DE CV","4812","2016-10-12","","Pvd telecommun svcs","Mexico","STS MEDIA INC/MVS COMUNICACIONES SA DE CV/VARIV CAPITAL-JOINT VENTURE","4812","Mexico","Completed/Signed","Joint Venture",NA,3021486045
"20943","IBM ","3571","2016-10-13","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/LOS ANGELES FOOTBALL CLUB-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3019019045
"20957","M2M GERMANY","4812","2016-10-13","","Wireless Telecommunications Carriers (Except Satellite)","Germany","M2M GERMANY GMBH/RED LION CONTROLS INC-STRATEGIC ALLIANCE","4812","Germany","Completed/Signed","Strategic Alliance",NA,3020153045
"21016","ETISALAT MISR","4812","2016-10-16","","Pvd telecommun services","Egypt","ETISALAT MISR/VODAFONE EGYPT-STRATEGIC ALLIANCE","4813","Egypt","Completed/Signed","Strategic Alliance",NA,3019003045
"21017","VODAFONE EGYPT TELECOMMUN SAE","4812","2016-10-16","","Pvd wireless telecommun svcs","Egypt","ETISALAT MISR/VODAFONE EGYPT-STRATEGIC ALLIANCE","4813","Egypt","Completed/Signed","Strategic Alliance",NA,3019003045
"21027","DEUTSCHE TELEKOM","4812","2016-10-17","","Pvd telecommunications svcs","Germany","SWYX SOLUTIONS AG/DEUTSCHE TELEKOM AG-STRATEGIC ALLIANCE","4812","Germany","Completed/Signed","Strategic Alliance",NA,3042077045
"21055","LENOVO GROUP","3571","2016-10-17","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/NIMBLE STORAGE INC-STRATEGIC ALLIANCE","7538","","Completed/Signed","Strategic Alliance",NA,3034322045
"21111","IBM ","3571","2016-10-19","","Manufacture computer products","United States","INTERNATIONAL BUSINESS/INDIAN ANGEL NETWORK SERVICES-STRATEGIC ALLIANCE","7373","India","Completed/Signed","Strategic Alliance",NA,3033368045
"21114","FLEXIROAM SDN BHD","4812","2016-10-19","","Wired Telecommunications Carriers","Malaysia","CAROUSELL PTE LTD/FLEXIROAM SDN BHD-STRATEGIC ALLIANCE","8742","Singapore","Completed/Signed","Strategic Alliance",NA,3020057045
"21127","TELEMISIS","4812","2016-10-19","","Provide telecommunications svcs","United Kingdom","TELEMISIS LTD/JABIL CIRCUIT INC-STRATEGIC ALLIANCE","1731","United Kingdom","Completed/Signed","Strategic Alliance",NA,3035869045
"21130","OOREDOO MALDIVES","4812","2016-10-19","","Wired Telecommunications Carriers","Maldives","THURAYA SATELLITE/WATANIYA TELECOM MALDIVES PVT LTD-STRATEGIC ALLIANCE","4812","Maldives","Completed/Signed","Strategic Alliance",NA,3042604045
"21132","SINGAPORE TECH TELEMEDIA PTE","4812","2016-10-19","","Provides mobile telephony services","Singapore","TATA COMMUNICATIONS LTD/SINGAPORE TECHNOLOGIES -STRATEGIC ALLIANCE","7374","India","Completed/Signed","Strategic Alliance",NA,3035450045
"21215","M3 TECHNOLOGY (ASIA) BHD","4812","2016-10-20","","Wireless Telecommunications Carriers (Except Satellite)","Malaysia","M3 TECHNOLOGIES(ASIA)BHD/HANGZHOU HIKVISION DIGITAL-STRATEGIC ALLIANCE","3651","Malaysia","Completed/Signed","Strategic Alliance",NA,3036570045
"21260","JT GROUP","4812","2016-10-21","","Pvd telecommunications svcs","Jersey","JT GROUP LTD/NEOCONSULT APS-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3036684045
"21288","BATELCO","4812","2016-10-23","","Pvd telecommunications services","Bahrain","BAHRAIN TELECOMMUNICATIONS CO BSC/SOPHOS LTD-STRATEGIC ALLIANCE","7381","Bahrain","Completed/Signed","Strategic Alliance",NA,3022999045
"21326","MOBILE TELECOMMUNKSCP","4812","2016-10-24","","Provide wireless telecommunications services","Kuwait","MIDDLE EAST BROADCASTING/MOBILE TELECOMMUNICATIONS CO KSCP-STRATEGIC~ALLIANCE","4812","Kuwait","Completed/Signed","Strategic Alliance",NA,3024930045
"21365","ASIA SATELLITE TELECOMMUN HLDG","4812","2016-10-25","","Satellite Telecommunications","Hong Kong","FRANCE 24 SA/ASIA SATELLITE TELECOMMUNICATIONS HOLDINGS LTD-STRATEGIC~ALLIANCE","4833","Supranational","Completed/Signed","Strategic Alliance",NA,3033288045
"21416","SMARTTHINGS","5731","2016-10-26","","Radio, Television, and Other Electronics Stores","United States","LEVITON MANUFACTURING CO INC/SMARTTHINGS INC-STRATEGIC ALLIANCE","1731","United States","Completed/Signed","Strategic Alliance",NA,3042552045
"21481","HTC ","3571","2016-10-28","","Manufacture computers,mobile telephones","Taiwan","INTERCONTINENTAL HOTELS GROUP PLC/HTC CORP-STRATEGIC ALLIANCE","7389","China","Completed/Signed","Strategic Alliance",NA,3029708045
"21509","SK TELECOM ","4812","2016-10-31","","Pvd cellular telecommun svcs","South Korea","SK TELECOM CO LTD/INTEL CORP-STRATEGIC ALLIANCE","8731","South Korea","Completed/Signed","Strategic Alliance",NA,3031371045
"21556","PHOENIX AUDIO TECHNOLOGY","4812","2016-11-01","","Provide telecommunications svcs","United States","INGRAM MICRO INC/PHOENIX AUDIO TECHNOLOGIES INC-STRATEGIC ALLIANCE","4812","United States","Completed/Signed","Strategic Alliance",NA,3036213045
"21564","NOKIA OYJ","3663","2016-11-01","","Mnfr network infrastructure products","Finland","VODAFONE HUTCHISON AUSTRALIA/NOKIA OYJ-STRATEGIC ALLIANCE","4812","Australia","Completed/Signed","Strategic Alliance",NA,3031388045
"21577","ROBI AXIATA","4812","2016-11-01","","Provide wireless telecom svcs","Bangladesh","ROBI AXIATA LTD/INTERCLOUD SAS-STRATEGIC ALLIANCE","7538","Bangladesh","Completed/Signed","Strategic Alliance",NA,3031508045
"21591","FITBIT","3571","2016-11-01","","Manufactures fitness activity products","United States","FITBIT INC/VIRGIN PULSE INC-STRATEGIC ALLIANCE","8099","United States","Completed/Signed","Strategic Alliance",NA,3030812045
